Time,"VOC, ppm",AQS,"Temperature, ˚C","Humidity, %","Pressure, mbar","PM1, ug/m³","PM2.5, ug/m³","PM10, ug/m³",Latitude,Longitude,Stop
  5:24:00 PM,0,94,20,29,982.5,4.8,6.6,8.7,33.81732805,-84.31222955,
  5:23:00 PM,0,90,20,29,982.5,7.3,8.7,10.1,33.81745519,-84.31205117,4
  5:22:00 PM,0.006,99,21,27,982.5,,,,33.81746102,-84.3120474,4
  5:21:00 PM,0.003,99,21,28,982.5,,,,33.81746361,-84.31204521,4
  5:20:00 PM,0,92,21,27,982.5,5.9,8,9.5,33.81746486,-84.31204912,4
  5:19:00 PM,0.001,91,21,27,982.5,6.9,8.4,9.4,33.81746992,-84.31205182,4
  5:18:00 PM,0.003,90,21,27,982.5,7.3,9.3,10.4,33.81745803,-84.31205674,4
  5:17:00 PM,0,94,21,27,982.5,4.5,6,7.6,33.81745328,-84.31204844,4
  5:16:00 PM,0.008,92,21,27,982.4,6,7.7,9.1,33.81745303,-84.31204768,4
  5:15:00 PM,0.003,99,21,27,982.4,,,,33.81745411,-84.31205993,4
  5:14:00 PM,0,93,21,26,982.3,5.4,7.1,8,33.81746634,-84.31204556,4
  5:13:00 PM,0.011,94,22,25,982.4,4.9,6.5,7.2,33.81746224,-84.31205184,4
  5:12:00 PM,0.003,95,22,25,982.4,4.1,5.3,6.7,33.81740778,-84.31195338,
  5:11:00 PM,0,93,22,25,982.7,5.5,7.1,8.1,33.81680653,-84.31140635,
  5:10:00 PM,0.01,94,22,25,982.9,4.9,6.6,7.3,33.81616926,-84.31093633,3
  5:09:00 PM,0.021,94,22,25,982.9,4.5,5.9,7.4,33.81570508,-84.31054367,3
  5:08:00 PM,0.033,93,22,25,983,5.1,6.5,7.5,33.81569611,-84.31053815,3
  5:07:00 PM,0.027,92,22,25,983,5.9,7.4,8.3,33.81571021,-84.3105384,3
  5:06:00 PM,0.026,94,22,25,983,4.5,6.2,7,33.81569938,-84.31054558,3
  5:05:00 PM,0.024,92,22,26,983,6.1,7.5,8.5,33.81568661,-84.31054175,3
  5:04:00 PM,0.022,98,22,25,983,,,,33.81568709,-84.31053587,3
  5:03:00 PM,0.012,93,22,25,983.1,5.5,6.9,7.9,33.8156869,-84.3105482,3
  5:02:00 PM,0,93,21,27,983.1,5.1,6.6,7.7,33.81568981,-84.31054371,3
  5:01:00 PM,0,96,21,27,983.1,2.9,4.6,5.4,33.81569302,-84.31054933,3
  5:00:00 PM,0,92,21,26,983.1,5.7,7.4,8,33.81569396,-84.31054069,3
  4:59:00 PM,0,92,22,25,983,6.1,7.6,8.6,33.81518396,-84.31013352,
  4:58:00 PM,0,92,22,25,982.7,6,7.4,8.6,33.81454464,-84.30961969,
  4:57:00 PM,0,89,22,25,982.3,8,10,11.5,33.81392083,-84.30914379,
  4:56:00 PM,0.001,99,23,24,982.1,,,,33.81322609,-84.30872961,
  4:55:00 PM,0.005,92,23,25,982.2,5.8,7.3,8.6,33.81261871,-84.30818337,
  4:54:00 PM,0,100,23,24,982.4,,,,33.81260133,-84.30776826,
  4:53:00 PM,0.017,92,24,22,982.4,6.2,7.9,8.6,33.81260177,-84.30777585,2
  4:52:00 PM,0.036,92,23,25,982.6,6.1,7.8,8.9,33.81209446,-84.30802274,2
  4:51:00 PM,0.065,95,23,25,982.7,3.5,4.8,6.1,33.81211062,-84.30801203,2
  4:50:00 PM,0.012,99,23,25,982.7,,,,33.8121076,-84.30800643,2
  4:49:00 PM,0.003,92,23,25,982.7,6,7.8,8.7,33.81212349,-84.30797702,2
  4:48:00 PM,0,92,23,25,982.7,6.3,7.8,9.1,33.8121039,-84.30799173,2
  4:47:00 PM,0,92,23,26,982.7,6,7.8,8.7,33.81210428,-84.30799874,2
  4:46:00 PM,0.008,93,23,25,982.8,5,6.9,7.5,33.81210595,-84.30803046,2
  4:45:00 PM,0.018,98,23,26,982.7,,,,33.81210822,-84.30800712,2
  4:44:00 PM,0,100,22,26,982.7,,,,33.812103,-84.30799392,2
  4:43:00 PM,0.003,92,22,27,982.7,5.7,7.5,9.1,33.81209182,-84.30801377,2
  4:42:00 PM,0.005,93,21,29,982.8,5.1,6.8,7.7,33.81211103,-84.30801255,
  4:41:00 PM,0,93,21,28,982.6,5.3,6.8,8,33.81238929,-84.30785725,
  4:40:00 PM,0,94,21,28,983,4.3,5.8,7,33.81262381,-84.3072279,1
  4:39:00 PM,0,100,21,27,983.3,,,,33.81263594,-84.3069393,1
  4:38:00 PM,0.005,99,21,28,983.3,,,,33.81263569,-84.30694172,1
  4:37:00 PM,0.01,99,22,26,983.3,,,,33.81264933,-84.30692063,1
  4:36:00 PM,0.007,99,22,26,983.3,,,,33.81263114,-84.30692153,1
  4:35:00 PM,0.002,94,21,28,983.1,4.9,6.6,7.4,33.81263043,-84.30694556,1
  4:34:00 PM,0.003,93,21,28,983.1,5.4,6.9,7.9,33.8126187,-84.30693842,1
  4:33:00 PM,0,95,21,28,983.2,3.5,5.1,6.4,33.81262236,-84.30693514,1
  4:32:00 PM,0,94,21,27,983.2,4.3,5.9,7.3,33.81263323,-84.30695528,1
  4:31:00 PM,0,92,21,29,983.7,5.7,7.3,8.4,33.81260062,-84.30630465,1
  4:30:00 PM,0,92,21,28,984.3,5.9,7.5,8.3,33.81261446,-84.3054749,1
